"Date","Price","Open","High","Low","Vol.","Change %"
"6 1990","358.02","361.26","368.78","351.23","-","-0.89%"
"5 1990","361.23","330.80","362.26","330.80","-","9.20%"
"4 1990","330.80","339.94","347.30","327.76","-","-2.69%"
"3 1990","339.94","331.89","344.49","331.08","-","2.43%"
"2 1990","331.89","329.08","336.09","322.10","-","0.85%"
"1 1990","329.08","353.40","360.59","319.83","-","-6.88%"
"12 1989","353.40","346.01","354.10","339.63","-","2.14%"
"11 1989","345.99","340.36","346.50","330.91","-","1.65%"
"10 1989","340.36","349.15","360.44","327.12","-","-2.52%"
"9 1989","349.15","351.45","354.13","341.37","-","-0.65%"
"8 1989","351.45","346.08","352.73","339.00","-","1.55%"
"7 1989","346.08","317.98","346.08","317.26","-","8.84%"
"6 1989","317.98","320.51","329.19","314.38","-","-0.79%"
"5 1989","320.52","309.64","323.06","304.06","-","3.51%"
"4 1989","309.64","294.87","310.45","294.35","-","5.01%"
"3 1989","294.87","288.86","299.99","286.46","-","2.08%"
"2 1989","288.86","297.47","300.57","286.26","-","-2.89%"
"1 1989","297.47","277.72","297.51","273.81","-","7.11%"
"12 1988","277.72","273.68","280.45","270.47","-","1.47%"
"11 1988","273.70","278.97","280.37","262.85","-","-1.89%"
"10 1988","278.97","271.89","283.95","268.84","-","2.60%"
"9 1988","271.91","261.52","274.87","256.98","-","3.97%"
"8 1988","261.52","272.03","274.20","256.53","-","-3.86%"
"7 1988","272.02","273.50","276.36","262.48","-","-0.54%"
"6 1988","273.50","262.16","276.88","262.10","-","4.33%"
"5 1988","262.16","261.36","263.70","248.85","-","0.32%"
"4 1988","261.33","258.89","272.05","254.71","-","0.94%"
"3 1988","258.89","267.82","272.64","256.07","-","-3.33%"
"2 1988","267.82","257.05","267.82","247.82","-","4.18%"
"1 1988","257.07","247.10","261.78","240.17","-","4.04%"
"12 1987","247.08","230.32","253.35","221.24","-","7.29%"
"11 1987","230.30","251.73","257.21","225.75","-","-8.53%"
"10 1987","251.79","321.83","328.94","216.46","-","-21.76%"
"9 1987","321.83","329.81","332.18","308.56","-","-2.42%"
"8 1987","329.80","318.62","337.89","314.51","-","3.50%"
"7 1987","318.66","303.99","318.85","302.53","-","4.82%"
"6 1987","304.00","290.12","310.27","286.93","-","4.79%"
"5 1987","290.10","286.99","298.69","277.01","-","0.60%"
"4 1987","288.36","291.59","303.65","275.67","-","-1.15%"
"3 1987","291.70","284.17","302.72","282.30","-","2.64%"
"2 1987","284.20","274.08","287.55","273.16","-","3.69%"
"1 1987","274.08","242.17","280.96","242.17","-","13.18%"
"12 1986","242.17","249.22","254.87","241.28","-","-2.83%"
"11 1986","249.22","243.97","249.22","235.51","-","2.15%"
"10 1986","243.98","231.32","244.51","231.32","-","5.47%"
"9 1986","231.32","252.93","254.13","228.08","-","-8.54%"
"8 1986","252.93","236.12","254.24","231.92","-","7.12%"
"7 1986","236.12","250.67","253.20","233.07","-","-5.87%"
"6 1986","250.84","246.04","251.81","238.23","-","1.41%"
"5 1986","247.35","235.52","249.19","232.26","-","5.02%"
"4 1986","235.52","238.90","245.47","226.30","-","-1.41%"
"3 1986","238.90","226.92","240.11","222.18","-","5.28%"
"2 1986","226.92","211.78","227.92","210.82","-","7.15%"
"1 1986","211.78","211.28","214.57","202.60","-","0.24%"
