"Date","Price","Open","High","Low","Vol.","Change %"
"2-01-2005","7.359","6.520","7.420","6.520","24.04K","9.23%"
"1-01-2005","6.737","6.740","6.890","6.415","0.39K","-1.03%"
"12-01-2004","6.807","7.715","8.190","6.600","3.98K","-11.86%"
"11-01-2004","7.723","7.470","7.820","7.470","28.35K","5.91%"
"10-01-2004","7.292","7.260","7.340","7.260","0.35K","5.44%"
"9-01-2004","6.916","6.735","6.820","6.065","2.80K","2.14%"
"8-01-2004","6.771","6.900","6.900","6.590","14.64K","3.37%"
"7-01-2004","6.550","5.835","6.750","5.830","2.28K","13.40%"
"6-01-2004","5.776","5.908","5.990","5.730","18.58K","-5.39%"
"5-01-2004","6.105","6.070","6.160","5.495","2.00K","4.06%"
"4-01-2004","5.867","8.075","8.105","5.900","0.34K","-26.07%"
"3-01-2004","7.936","6.700","7.750","6.570","4.95K","18.52%"
"2-01-2004","6.696","6.115","6.780","6.115","19.23K","7.20%"
"1-01-2004","6.246","6.200","6.670","6.150","0.43K","4.92%"
"12-01-2003","5.953","5.360","5.960","5.355","3.58K","11.17%"
"11-01-2003","5.355","5.055","5.390","5.055","3.93K","5.85%"
"10-01-2003","5.059","4.870","5.170","4.805","0.14K","-1.52%"
"9-01-2003","5.137","5.135","5.365","4.970","3.45K","0.55%"
"8-01-2003","5.109","4.820","5.180","4.820","9.10K","-0.14%"
"7-01-2003","5.116","4.680","5.175","4.640","1.96K","13.19%"
"6-01-2003","4.520","4.500","4.650","4.490","9.79K","-0.13%"
"5-01-2003","4.526","4.655","4.880","4.580","1.82K","-2.41%"
"4-01-2003","4.638","4.450","4.660","4.450","11.86K","3.97%"
"3-01-2003","4.461","4.580","4.690","4.350","1.42K","-4.17%"
"2-01-2003","4.655","4.550","4.550","4.540","0.04K","-4.08%"
"1-01-2003","4.853","4.880","4.885","4.760","0.67K","1.08%"
"12-01-2002","4.801","4.425","4.780","4.400","3.17K","8.77%"
"11-01-2002","4.414","4.560","4.560","4.405","3.51K","-1.89%"
"10-01-2002","4.499","4.315","4.350","4.300","0.42K","-0.68%"
"9-01-2002","4.530","4.461","4.670","4.430","1.64K","2.10%"
"8-01-2002","4.437","4.500","4.560","4.420","5.99K","-3.44%"
"7-01-2002","4.595","4.845","5.140","4.610","3.22K","-4.92%"
"6-01-2002","4.833","5.150","5.150","4.800","14.47K","-3.84%"
"5-01-2002","5.026","4.520","4.980","4.510","2.12K","10.90%"
"4-01-2002","4.532","4.700","4.700","4.505","9.64K","-2.35%"
"3-01-2002","4.641","4.485","4.630","4.455","1.20K","3.20%"
"2-01-2002","4.497","4.280","4.510","4.280","10.58K","6.67%"
"1-01-2002","4.216","4.580","4.720","4.575","0.23K","-7.93%"
"12-01-2001","4.579","4.135","4.560","4.080","1.29K","10.93%"
"11-01-2001","4.128","4.140","4.160","4.050","10.58K","-2.04%"
"10-01-2001","4.214","4.670","4.670","4.150","0.11K","-9.32%"
"9-01-2001","4.647","4.155","4.660","4.135","1.18K","11.65%"
"8-01-2001","4.162","4.210","4.210","4.140","13.19K","-1.14%"
"7-01-2001","4.210","4.260","4.280","4.180","1.39K","-1.91%"
"6-01-2001","4.292","4.320","4.400","4.280","21.68K","-2.37%"
"5-01-2001","4.396","4.310","4.635","4.305","0.97K","1.76%"
"4-01-2001","4.320","4.380","4.410","4.310","12.30K","0.98%"
"3-01-2001","4.278","4.485","4.520","4.270","3.48K","-4.34%"
"2-01-2001","4.472","4.740","4.740","4.390","14.57K","-6.66%"
"1-01-2001","4.791","4.500","4.770","4.500","0.35K","4.49%"
